LeaderA	follA1	follA2	follA3	RND1	RND2	RND3	LeaderB	FollB1	FollB2	RND4	RND5	LeaderC	FollC1	FollC2	FollC3	FollC4	FollC5	FollC6	FollC7	FollC8	RND6	LeaderDa	LeaderDb	FollD1	FollD2	FollD3	FollD4
0	0	1	0	0	1	1	1	1	0	0	1	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	1
0	0	1	0	0	0	1	1	1	0	0	1	1	1	0	1	1	0	0	0	0	1	0	1	1	0	0	1
1	1	0	1	0	1	1	1	1	0	1	1	0	0	1	0	0	1	1	1	1	1	0	0	0	0	1	1
1	1	0	1	1	0	1	0	0	1	1	1	0	0	1	0	0	1	1	1	1	1	0	1	1	0	0	1
0	0	1	0	1	1	0	1	1	0	1	1	0	0	1	0	0	1	1	1	1	1	1	0	1	0	0	1
1	1	0	1	1	1	0	1	1	0	0	1	1	1	0	1	1	0	0	0	0	1	1	1	1	1	0	0
1	1	0	1	0	1	0	1	1	0	0	1	1	1	0	1	1	0	0	0	0	1	0	0	0	0	1	1
0	0	1	0	0	1	0	1	1	0	1	1	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	1
1	1	0	1	0	1	1	0	0	1	1	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	0	0
1	1	0	1	0	1	1	0	0	1	0	1	0	0	1	0	0	1	1	1	1	0	1	1	1	1	0	0
1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	1
1	1	0	1	1	1	1	0	0	1	1	0	1	1	0	1	1	0	0	0	0	1	1	1	1	1	0	0
1	1	0	1	0	0	1	1	1	0	0	0	1	1	0	1	1	0	0	0	0	1	0	0	0	0	1	1
1	1	0	1	1	0	1	1	1	0	0	1	1	1	0	1	1	0	0	0	0	1	1	0	1	0	0	1
1	1	0	1	1	1	0	1	1	0	1	0	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	1
1	1	0	1	1	0	0	1	1	0	0	0	1	1	0	1	1	0	0	0	0	1	1	0	1	0	0	1
0	0	1	0	1	0	1	1	1	0	0	1	0	0	1	0	0	1	1	1	1	1	1	0	1	0	0	1
1	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	1	1	1	0	1	0	1	0	0	1
1	1	0	1	0	0	0	1	1	0	0	1	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	1
1	1	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	1	1	1	1	0	1	0	1	0	0	1
1	1	0	1	0	1	1	1	1	0	1	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	1	1
0	0	1	0	0	0	0	1	1	0	1	0	0	0	1	0	0	1	1	1	1	1	1	0	1	0	0	1
0	0	1	0	1	1	0	0	0	1	0	1	0	0	1	0	0	1	1	1	1	1	1	0	1	0	0	1
1	1	0	1	0	0	1	0	0	1	1	0	1	1	0	1	1	0	0	0	0	1	1	0	1	0	0	1
1	1	0	1	1	0	1	1	1	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	0	0
1	1	0	1	0	1	0	0	0	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1
1	1	0	1	0	0	0	1	1	0	1	1	1	1	0	1	1	0	0	0	0	0	1	1	1	1	0	0
1	1	0	1	1	0	1	0	0	1	0	0	1	1	0	1	1	0	0	0	0	1	0	0	0	0	1	1
1	1	0	1	1	1	1	0	0	1	0	1	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	1
1	1	0	1	0	0	0	0	0	1	0	1	1	1	0	1	1	0	0	0	0	1	1	1	1	1	0	0
1	1	0	1	0	0	0	1	1	0	1	0	0	0	1	0	0	1	1	1	1	0	1	0	1	0	0	1
0	0	1	0	1	1	0	0	0	1	0	0	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	1
0	0	1	0	0	0	1	1	1	0	1	1	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	1
0	0	1	0	1	0	0	0	0	1	0	1	1	1	0	1	1	0	0	0	0	1	1	0	1	0	0	1
1	1	0	1	1	0	0	1	1	0	1	0	1	1	0	1	1	0	0	0	0	1	0	1	1	0	0	1
0	0	1	0	0	1	0	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	1
1	1	0	1	1	0	0	1	1	0	1	1	1	1	0	1	1	0	0	0	0	0	1	1	1	1	0	0
0	0	1	0	0	1	0	1	1	0	1	1	0	0	1	0	0	1	1	1	1	1	1	1	1	1	0	0
0	0	1	0	1	0	1	0	0	1	1	0	1	1	0	1	1	0	0	0	0	1	1	1	1	1	0	0
0	0	1	0	1	0	1	1	1	0	0	1	1	1	0	1	1	0	0	0	0	1	1	0	1	0	0	1
1	1	0	1	0	0	1	1	1	0	0	1	1	1	0	1	1	0	0	0	0	0	1	1	1	1	0	0
0	0	1	0	1	1	1	0	0	1	1	0	0	0	1	0	0	1	1	1	1	0	0	1	1	0	0	1
1	1	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	1	1	1	1	0	1	0	1	0	0	1
0	0	1	0	0	1	1	1	1	0	1	0	1	1	0	1	1	0	0	0	0	1	1	1	1	1	0	0
0	0	1	0	1	0	1	1	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	1	1	0	0	1
0	0	1	0	0	1	1	1	1	0	0	0	1	1	0	1	1	0	0	0	0	1	1	1	1	1	0	0
0	0	1	0	1	0	1	1	1	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	1	1
0	0	1	0	0	1	1	1	1	0	1	1	0	0	1	0	0	1	1	1	1	1	0	0	0	0	1	1
1	1	0	1	1	1	0	1	1	0	0	0	0	0	1	0	0	1	1	1	1	0	1	0	1	0	0	1
0	0	1	0	1	0	0	1	1	0	1	0	0	0	1	0	0	1	1	1	1	1	0	0	0	0	1	1
1	1	0	1	1	1	0	0	0	1	0	1	1	1	0	1	1	0	0	0	0	0	0	1	1	0	0	1
1	1	0	1	1	0	0	1	1	0	0	0	0	0	1	0	0	1	1	1	1	0	1	0	1	0	0	1
0	0	1	0	1	1	1	0	0	1	0	1	0	0	1	0	0	1	1	1	1	0	0	1	1	0	0	1
1	1	0	1	0	0	0	1	1	0	0	0	1	1	0	1	1	0	0	0	0	1	1	1	1	1	0	0
1	1	0	1	0	1	0	0	0	1	0	1	1	1	0	1	1	0	0	0	0	1	1	0	1	0	0	1
1	1	0	1	1	1	0	1	1	0	1	1	0	0	1	0	0	1	1	1	1	1	1	1	1	1	0	0
1	1	0	1	0	0	0	1	1	0	0	1	1	1	0	1	1	0	0	0	0	0	1	1	1	1	0	0
1	1	0	1	1	0	0	1	1	0	0	1	1	1	0	1	1	0	0	0	0	1	1	1	1	1	0	0
1	1	0	1	0	1	1	1	1	0	1	1	0	0	1	0	0	1	1	1	1	0	1	0	1	0	0	1
0	0	1	0	0	1	0	1	1	0	1	1	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	1
1	1	0	1	1	0	0	0	0	1	1	0	1	1	0	1	1	0	0	0	0	1	0	1	1	0	0	1
1	1	0	1	1	1	0	1	1	0	1	1	0	0	1	0	0	1	1	1	1	1	0	0	0	0	1	1
1	1	0	1	0	0	0	1	1	0	1	0	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	1
0	0	1	0	1	0	1	0	0	1	0	1	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	1
1	1	0	1	1	0	1	1	1	0	1	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	1	1
0	0	1	0	1	1	1	1	1	0	0	1	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	1
1	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	1	1	1	0	1	1	1	1	0	0
1	1	0	1	0	1	1	1	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	1	1	0	0	1
1	1	0	1	1	1	1	1	1	0	0	1	1	1	0	1	1	0	0	0	0	0	1	1	1	1	0	0
1	1	0	1	1	0	1	1	1	0	1	1	0	0	1	0	0	1	1	1	1	1	1	0	1	0	0	1
0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	0	0
0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	1	1	1	1	0	1	1	0	0	1
0	0	1	0	0	1	1	1	1	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	1
1	1	0	1	1	1	0	0	0	1	0	1	0	0	1	0	0	1	1	1	1	0	1	0	1	0	0	1
0	0	1	0	0	0	1	1	1	0	0	0	1	1	0	1	1	0	0	0	0	1	1	0	1	0	0	1
0	0	1	0	1	0	1	1	1	0	1	1	0	0	1	0	0	1	1	1	1	0	0	0	0	0	1	1
1	1	0	1	0	0	1	1	1	0	1	0	1	1	0	1	1	0	0	0	0	0	1	1	1	1	0	0
1	1	0	1	0	0	1	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	1
1	1	0	1	1	1	0	0	0	1	1	0	1	1	0	1	1	0	0	0	0	0	1	1	1	1	0	0
1	1	0	1	1	1	0	0	0	1	1	0	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	1
1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	0	0	1	1	1	1	0	0	1	1	0	0	1
0	0	1	0	1	0	1	1	1	0	0	1	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	1
1	1	0	1	1	0	1	1	1	0	1	1	1	1	0	1	1	0	0	0	0	1	1	0	1	0	0	1
0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	1	1	1	0	1	0	1	0	0	1
1	1	0	1	0	1	1	1	1	0	0	1	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	1
1	1	0	1	0	1	1	1	1	0	1	0	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	1
1	1	0	1	0	0	1	1	1	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1
1	1	0	1	0	1	0	0	0	1	1	1	1	1	0	1	1	0	0	0	0	1	1	0	1	0	0	1
1	1	0	1	0	1	1	1	1	0	1	1	0	0	1	0	0	1	1	1	1	1	1	0	1	0	0	1
0	0	1	0	1	0	0	1	1	0	1	0	1	1	0	1	1	0	0	0	0	1	0	1	1	0	0	1
0	0	1	0	1	0	1	1	1	0	0	0	0	0	1	0	0	1	1	1	1	0	1	1	1	1	0	0
0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	1	1	0	1	0	1	0	0	1
1	1	0	1	1	1	1	0	0	1	0	1	1	1	0	1	1	0	0	0	0	1	1	0	1	0	0	1
0	0	1	0	0	0	1	1	1	0	0	1	1	1	0	1	1	0	0	0	0	1	1	0	1	0	0	1
1	1	0	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	1
0	0	1	0	1	1	0	0	0	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1
0	0	1	0	0	1	0	1	1	0	1	0	1	1	0	1	1	0	0	0	0	0	1	1	1	1	0	0
